NAME,DATE,TMAX,TMIN,MONTH
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-05,52.0,39.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-06,48.0,41.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-07,47.0,41.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-08,44.0,44.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-09,55.0,36.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-10,45.0,40.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-11,49.0,41.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-12,48.0,41.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-13,43.0,42.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-14,42.0,40.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-15,36.0,38.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-16,38.0,25.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-17,40.0,25.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-18,40.0,28.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-19,43.0,28.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-20,44.0,27.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-21,48.0,25.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-22,49.0,31.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-23,53.0,42.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-24,50.0,44.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-25,47.0,46.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-26,43.0,35.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-27,47.0,28.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-28,51.0,28.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-29,49.0,39.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-30,44.0,38.0,1
"EDINBURGH ROYAL BOTANIC GARDE, UK",2023-01-31,49.0,38.0,1
"HASTINGS, UK",2023-01-01,51.0,51.0,1
"HASTINGS, UK",2023-01-02,53.0,45.0,1
"HASTINGS, UK",2023-01-03,54.0,38.0,1
"HASTINGS, UK",2023-01-04,52.0,50.0,1
"HASTINGS, UK",2023-01-05,53.0,50.0,1
"HASTINGS, UK",2023-01-06,52.0,45.0,1
"HASTINGS, UK",2023-01-07,51.0,47.0,1
"HASTINGS, UK",2023-01-08,49.0,47.0,1
"HASTINGS, UK",2023-01-09,53.0,42.0,1
"HASTINGS, UK",2023-01-10,52.0,40.0,1
"HASTINGS, UK",2023-01-11,52.0,45.0,1
"HASTINGS, UK",2023-01-12,51.0,45.0,1
"HASTINGS, UK",2023-01-13,52.0,43.0,1
"HASTINGS, UK",2023-01-14,48.0,46.0,1
"HASTINGS, UK",2023-01-15,41.0,42.0,1
"HASTINGS, UK",2023-01-16,37.0,36.0,1
"HASTINGS, UK",2023-01-17,41.0,28.0,1
"HASTINGS, UK",2023-01-18,44.0,29.0,1
"HASTINGS, UK",2023-01-19,43.0,30.0,1
"HASTINGS, UK",2023-01-20,45.0,31.0,1
"HASTINGS, UK",2023-01-21,43.0,33.0,1
"HASTINGS, UK",2023-01-22,40.0,33.0,1
"HASTINGS, UK",2023-01-23,42.0,31.0,1
"HASTINGS, UK",2023-01-24,43.0,35.0,1
"HASTINGS, UK",2023-01-25,45.0,35.0,1
"HASTINGS, UK",2023-01-26,46.0,35.0,1
"HASTINGS, UK",2023-01-27,44.0,35.0,1
"HASTINGS, UK",2023-01-28,46.0,31.0,1
"HASTINGS, UK",2023-01-29,50.0,35.0,1
"HASTINGS, UK",2023-01-30,51.0,40.0,1
"HASTINGS, UK",2023-01-31,50.0,38.0,1
"ALICE HOLT LODGE, UK",2023-01-01,47.0,50.0,1
"ALICE HOLT LODGE, UK",2023-01-02,55.0,39.0,1
"ALICE HOLT LODGE, UK",2023-01-03,55.0,30.0,1
"ALICE HOLT LODGE, UK",2023-01-04,56.0,47.0,1
"ALICE HOLT LODGE, UK",2023-01-05,53.0,48.0,1
"ALICE HOLT LODGE, UK",2023-01-06,51.0,42.0,1
"ALICE HOLT LODGE, UK",2023-01-07,47.0,43.0,1
"ALICE HOLT LODGE, UK",2023-01-08,47.0,42.0,1
"ALICE HOLT LODGE, UK",2023-01-09,54.0,38.0,1
"ALICE HOLT LODGE, UK",2023-01-10,52.0,36.0,1
"ALICE HOLT LODGE, UK",2023-01-11,53.0,42.0,1
"ALICE HOLT LODGE, UK",2023-01-12,52.0,43.0,1
"ALICE HOLT LODGE, UK",2023-01-13,53.0,44.0,1
"ALICE HOLT LODGE, UK",2023-01-14,47.0,39.0,1
"ALICE HOLT LODGE, UK",2023-01-15,40.0,38.0,1
"ALICE HOLT LODGE, UK",2023-01-16,31.0,34.0,1
"ALICE HOLT LODGE, UK",2023-01-17,41.0,19.0,1
"ALICE HOLT LODGE, UK",2023-01-18,42.0,22.0,1
"ALICE HOLT LODGE, UK",2023-01-19,43.0,25.0,1
"ALICE HOLT LODGE, UK",2023-01-20,43.0,27.0,1
"ALICE HOLT LODGE, UK",2023-01-21,40.0,27.0,1
"ALICE HOLT LODGE, UK",2023-01-22,39.0,21.0,1
"ALICE HOLT LODGE, UK",2023-01-23,39.0,17.0,1
"ALICE HOLT LODGE, UK",2023-01-24,41.0,20.0,1
"ALICE HOLT LODGE, UK",2023-01-25,44.0,24.0,1
"ALICE HOLT LODGE, UK",2023-01-26,44.0,31.0,1
"ALICE HOLT LODGE, UK",2023-01-27,42.0,37.0,1
"ALICE HOLT LODGE, UK",2023-01-28,47.0,32.0,1
"ALICE HOLT LODGE, UK",2023-01-29,48.0,35.0,1
"ALICE HOLT LODGE, UK",2023-01-30,53.0,40.0,1
"ALICE HOLT LODGE, UK",2023-01-31,50.0,32.0,1
"WICK, UK",2023-01-01,41.0,32.0,1
